,Make,AccidentArea,Sex,MaritalStatus,Age,Fault,PolicyType,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,delay_weeks
0,Honda,Urban,Female,Single,21,Policy Holder,Sport - Liability,more than 69000,0,300,1,more than 30,none,3 years,No,No,External,none,1 year,3 to 4,1
1,Honda,Urban,Male,Single,34,Policy Holder,Sport - Collision,more than 69000,0,400,4,more than 30,none,6 years,Yes,No,External,none,no change,1 vehicle,61
2,Honda,Urban,Male,Married,47,Policy Holder,Sport - Collision,more than 69000,0,400,3,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,2
3,Toyota,Rural,Male,Married,65,Third Party,Sedan - Liability,20000 to 29000,0,400,2,more than 30,1,more than 7,Yes,No,External,more than 5,no change,1 vehicle,4
4,Honda,Urban,Female,Single,27,Third Party,Sport - Collision,more than 69000,0,400,1,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,2
5,Honda,Urban,Male,Single,20,Third Party,Sport - Collision,more than 69000,0,400,3,more than 30,none,5 years,No,No,External,3 to 5,no change,1 vehicle,2
6,Honda,Urban,Male,Married,36,Third Party,Sport - Collision,more than 69000,0,400,1,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,62
7,Honda,Urban,Male,Single,16,Policy Holder,Sport - Collision,more than 69000,0,400,4,more than 30,1,new,No,No,External,none,no change,1 vehicle,23
8,Honda,Urban,Male,Single,30,Policy Holder,Sport - Collision,more than 69000,0,400,4,more than 30,none,6 years,No,Yes,External,3 to 5,no change,1 vehicle,61
9,Ford,Urban,Male,Married,42,Policy Holder,Utility - All Perils,more than 69000,0,400,1,more than 30,2 to 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,60
10,Mazda,Urban,Male,Single,71,Policy Holder,Sedan - All Perils,more than 69000,0,400,3,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,61
11,Honda,Urban,Male,Married,52,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,60
12,Ford,Urban,Male,Married,28,Policy Holder,Sedan - Liability,more than 69000,0,400,1,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,60
13,Honda,Rural,Male,Single,17,Third Party,Sedan - Collision,more than 69000,0,400,3,more than 30,none,new,No,No,External,none,no change,1 vehicle,1
14,Ford,Urban,Male,Married,61,Policy Holder,Sedan - Liability,more than 69000,0,400,1,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,1
15,Ford,Urban,Male,Single,38,Policy Holder,Sedan - Liability,more than 69000,0,400,1,more than 30,none,6 years,No,No,External,none,no change,1 vehicle,61
16,Ford,Urban,Male,Married,41,Policy Holder,Sedan - All Perils,more than 69000,0,400,4,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,2
17,Chevrolet,Urban,Female,Married,28,Third Party,Sedan - Collision,20000 to 29000,0,400,1,more than 30,none,7 years,No,No,External,1 to 2,no change,1 vehicle,1
18,Pontiac,Urban,Male,Single,32,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,61
19,Honda,Urban,Male,Married,30,Third Party,Sedan - Liability,more than 69000,0,400,2,more than 30,2 to 4,6 years,No,No,External,more than 5,no change,1 vehicle,2
20,Mazda,Urban,Male,Married,40,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,1,more than 7,No,No,External,more than 5,no change,1 vehicle,4
21,Chevrolet,Urban,Male,Married,47,Policy Holder,Sedan - Collision,20000 to 29000,0,400,2,more than 30,1,more than 7,No,No,External,none,4 to 8 years,2 vehicles,60
22,Mazda,Urban,Male,Married,63,Policy Holder,Sedan - Liability,20000 to 29000,0,400,3,more than 30,1,more than 7,No,No,External,1 to 2,no change,1 vehicle,62
23,Pontiac,Urban,Male,Single,31,Third Party,Sedan - Liability,30000 to 39000,0,400,3,more than 30,none,6 years,No,No,External,3 to 5,no change,1 vehicle,60
24,Mazda,Urban,Male,Married,45,Policy Holder,Sedan - All Perils,more than 69000,0,400,3,more than 30,more than 4,more than 7,Yes,No,External,none,no change,1 vehicle,60
25,Pontiac,Urban,Male,Married,60,Policy Holder,Sedan - Liability,20000 to 29000,0,400,4,more than 30,more than 4,more than 7,No,No,External,none,no change,1 vehicle,3
26,Honda,Urban,Male,Married,21,Policy Holder,Sedan - Collision,30000 to 39000,0,400,2,more than 30,more than 4,5 years,No,No,External,more than 5,no change,1 vehicle,16
27,Accura,Urban,Male,Married,42,Policy Holder,Sedan - All Perils,30000 to 39000,0,400,3,more than 30,2 to 4,7 years,No,No,External,1 to 2,no change,1 vehicle,61
28,Honda,Urban,Male,Single,16,Policy Holder,Sedan - All Perils,more than 69000,1,400,1,more than 30,none,new,No,No,External,none,no change,1 vehicle,13
29,Mazda,Urban,Female,Married,39,Policy Holder,Sedan - Collision,20000 to 29000,0,400,3,more than 30,none,7 years,No,No,External,none,no change,1 vehicle,61
