Make,AccidentArea,Sex,MaritalStatus,Age,Fault,PolicyType,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Age_Binned,delay_weeks
Honda,Urban,Female,Single,21,Policy Holder,Sport - Liability,more than 69000,0,300,1,more than 30,none,3 years,No,No,External,none,1 year,3 to 4,21-25,1
Honda,Urban,Male,Single,34,Policy Holder,Sport - Collision,more than 69000,0,400,4,more than 30,none,6 years,Yes,No,External,none,no change,1 vehicle,31-35,61
Honda,Urban,Male,Married,47,Policy Holder,Sport - Collision,more than 69000,0,400,3,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,41-50,2
Toyota,Rural,Male,Married,65,Third Party,Sedan - Liability,20000 to 29000,0,400,2,more than 30,1,more than 7,Yes,No,External,more than 5,no change,1 vehicle,65+,4
Honda,Urban,Female,Single,27,Third Party,Sport - Collision,more than 69000,0,400,1,more than 30,none,5 years,No,No,External,none,no change,1 vehicle,26-30,2
Honda,Urban,Male,Single,20,Third Party,Sport - Collision,more than 69000,0,400,3,more than 30,none,5 years,No,No,External,3 to 5,no change,1 vehicle,21-25,2
Honda,Urban,Male,Married,36,Third Party,Sport - Collision,more than 69000,0,400,1,more than 30,1,7 years,No,No,External,1 to 2,no change,1 vehicle,36-40,62
Honda,Urban,Male,Single,17,Policy Holder,Sport - Collision,more than 69000,0,400,4,more than 30,1,new,No,No,External,none,no change,1 vehicle,0-17,23
Honda,Urban,Male,Single,30,Policy Holder,Sport - Collision,more than 69000,0,400,4,more than 30,none,6 years,No,Yes,External,3 to 5,no change,1 vehicle,31-35,61
Ford,Urban,Male,Married,42,Policy Holder,Utility - All Perils,more than 69000,0,400,1,more than 30,2 to 4,more than 7,No,No,External,3 to 5,no change,1 vehicle,41-50,60
Mazda,Urban,Male,Single,71,Policy Holder,Sedan - All Perils,more than 69000,0,400,3,more than 30,none,more than 7,No,No,External,none,no change,1 vehicle,65+,61
Honda,Urban,Male,Married,52,Policy Holder,Sedan - Liability,20000 to 29000,0,400,1,more than 30,2 to 4,more than 7,No,No,External,none,no change,1 vehicle,51-65,60
Ford,Urban,Male,Married,28,Policy Holder,Sedan - Liability,more than 69000,0,400,1,more than 30,1,7 years,No,No,External,none,no change,1 vehicle,26-30,60
