,AccidentArea,Sex,Fault,PoliceReportFiled,WitnessPresent,AgentType,Make,MaritalStatus,PolicyType,VehiclePrice,Days_Policy_Accident,PastNumberOfClaims,AgeOfVehicle,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,DriverRating,Deductible,Age,delay_weeks,FraudFound_P
11282,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.2649977300732862,3.0,4.0,1.0,7.0,3.0,0.0,0.0,4.0,400.0,1.8010523602053972,0.5611646959685037,0
12633,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.3234321291912575,2.0,4.0,0.0,5.0,0.0,0.0,0.0,3.0,400.0,-0.4896894788856461,0.5611646959685037,0
8045,1.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.36215059342369804,1.0,4.0,1.0,5.0,3.0,0.0,0.0,1.0,400.0,-0.9636360662837931,-1.8153824604852427,0
8628,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.36215059342369804,2.0,4.0,3.0,7.0,3.0,0.0,0.0,3.0,400.0,2.1170167518041616,0.6021396469418442,1
5890,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.3234321291912575,5.0,4.0,3.0,7.0,2.0,0.0,0.0,4.0,400.0,0.6161858917100299,0.5611646959685037,0
4679,1.0,1.0,1.0,0.0,0.0,0.0,17.0,2.0,0.3234321291912575,1.0,4.0,0.0,4.0,1.0,0.0,0.0,2.0,400.0,-1.516573751581631,0.5611646959685037,0
7715,1.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,0.3234321291912575,1.0,4.0,3.0,7.0,3.0,0.0,0.0,2.0,400.0,1.722061262305706,0.5611646959685037,0
5300,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.2649977300732862,2.0,4.0,1.0,7.0,2.0,0.0,0.0,2.0,700.0,1.169123577007868,0.6021396469418442,0
5419,1.0,0.0,1.0,0.0,0.0,0.0,13.0,2.0,0.36215059342369804,1.0,4.0,0.0,7.0,0.0,0.0,0.0,4.0,400.0,0.6161858917100299,-1.8153824604852427,0
3731,1.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,0.2649977300732862,1.0,4.0,1.0,5.0,3.0,0.0,0.0,2.0,400.0,1.169123577007868,0.6021396469418442,0
7915,1.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,0.2649977300732862,0.0,4.0,0.0,7.0,2.0,0.0,0.0,2.0,400.0,0.30022150011126536,-0.7910086861517314,0
14745,1.0,1.0,1.0,0.0,0.0,0.0,16.0,2.0,0.2649977300732862,3.0,4.0,0.0,5.0,2.0,0.0,0.0,3.0,400.0,-1.0426271641834841,0.6021396469418442,0
4890,1.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.36215059342369804,0.0,4.0,0.0,6.0,1.0,0.0,0.0,3.0,400.0,-0.7266627725847196,-1.8153824604852427,0
7312,1.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.2649977300732862,1.0,4.0,0.0,7.0,3.0,0.0,0.0,3.0,400.0,0.8531591854091034,0.6021396469418442,0
7160,1.0,1.0,1.0,0.0,0.0,0.0,17.0,2.0,0.3234321291912575,1.0,4.0,1.0,6.0,3.0,4.0,1.0,4.0,700.0,-1.0426271641834841,-1.5285578036718594,0
1887,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.36215059342369804,5.0,4.0,2.0,7.0,0.0,0.0,0.0,3.0,400.0,0.5371947938103387,0.5611646959685037,1
1855,1.0,1.0,0.0,0.0,0.0,0.0,13.0,2.0,0.2649977300732862,2.0,4.0,0.0,6.0,3.0,0.0,0.0,1.0,400.0,-0.8056538704844107,-1.8563574114585832,0
2572,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.2649977300732862,1.0,4.0,2.0,4.0,3.0,0.0,0.0,3.0,400.0,-0.7266627725847196,-1.4466079017251785,0
13626,1.0,1.0,1.0,1.0,0.0,0.0,5.0,1.0,0.2649977300732862,1.0,4.0,2.0,5.0,0.0,0.0,0.0,2.0,400.0,1.4850879686066325,0.6431145979151847,0
4493,1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.3234321291912575,1.0,4.0,1.0,5.0,0.0,4.0,1.0,4.0,400.0,-0.410698380985955,-1.7744075095119023,0
