labels_used,accuracy_random,f1_random,recall_random,precision_random,auc_random,accuracy_uncertainty,f1_uncertainty,recall_uncertainty,precision_uncertainty,auc_uncertainty,accuracy_llm,f1_llm,recall_llm,precision_llm,auc_llm
160,0.91,0.05263157894736842,0.043478260869565216,0.06666666666666667,0.6181524622304232,0.91,0.05263157894736842,0.043478260869565216,0.06666666666666667,0.6181524622304232,0.91,0.05263157894736842,0.043478260869565216,0.06666666666666667,0.6181524622304232
210,0.9175,0.05714285714285714,0.043478260869565216,0.08333333333333333,0.5719063545150501,0.935,0.0,0.0,0.0,0.5975089378387729,0.9175,0.05714285714285714,0.043478260869565216,0.08333333333333333,0.553223388305847
260,0.935,0.0,0.0,0.0,0.5919732441471571,0.9375,0.07407407407407407,0.043478260869565216,0.25,0.6283012339983853,0.93,0.0,0.0,0.0,0.425671779494868
310,0.9325,0.0,0.0,0.0,0.6116941529235382,0.94,0.0,0.0,0.0,0.5937031484257871,0.93,0.06666666666666667,0.043478260869565216,0.14285714285714285,0.521277822627148
360,0.93,0.0,0.0,0.0,0.6758159381847538,0.9425,0.0,0.0,0.0,0.5764041056394879,0.9425,0.14814814814814814,0.08695652173913043,0.5,0.7082228116710875
410,0.9225,0.0,0.0,0.0,0.7068388882481835,0.94,0.0,0.0,0.0,0.580440548956291,0.9425,0.14814814814814814,0.08695652173913043,0.5,0.7066082343443661
460,0.9225,0.0,0.0,0.0,0.7003805789412986,0.9375,0.0,0.0,0.0,0.5873601660708108,0.94,0.07692307692307693,0.043478260869565216,0.3333333333333333,0.677430515511475
510,0.92,0.0,0.0,0.0,0.7414369738207819,0.9375,0.0,0.0,0.0,0.607657709606735,0.9375,0.0,0.0,0.0,0.6288778687579286
560,0.9275,0.06451612903225806,0.043478260869565216,0.125,0.7326721254757237,0.9325,0.0,0.0,0.0,0.6240341367777649,0.94,0.0,0.0,0.0,0.6121554607311729
610,0.93,0.06666666666666667,0.043478260869565216,0.14285714285714285,0.7303655864375505,0.9225,0.0,0.0,0.0,0.6186137700380578,0.9325,0.0,0.0,0.0,0.6190750778456925
660,0.9275,0.06451612903225806,0.043478260869565216,0.125,0.7512397647330181,0.93,0.0,0.0,0.0,0.6031599584822973,0.9375,0.07407407407407407,0.043478260869565216,0.25,0.6503286818129397
710,0.94,0.14285714285714285,0.08695652173913043,0.4,0.7497405143582055,0.935,0.0,0.0,0.0,0.6599008188213584,0.94,0.0,0.0,0.0,0.629454503517472
760,0.9275,0.06451612903225806,0.043478260869565216,0.125,0.7498558413101142,0.9275,0.0,0.0,0.0,0.6660131472725175,0.94,0.0,0.0,0.0,0.7094914081420828
810,0.9375,0.0,0.0,0.0,0.7651943259139661,0.9325,0.0,0.0,0.0,0.6489447583900356,0.94,0.0,0.0,0.0,0.686310690808442
860,0.935,0.0,0.0,0.0,0.7299042786299159,0.9275,0.0,0.0,0.0,0.6479068158228578,0.94,0.0,0.0,0.0,0.682504901395456
910,0.935,0.0,0.0,0.0,0.7495098604543882,0.93,0.0,0.0,0.0,0.6336062737861838,0.94,0.0,0.0,0.0,0.6815822857801869
960,0.935,0.0,0.0,0.0,0.7400530503978779,0.93,0.0,0.0,0.0,0.6595548379656325,0.94,0.0,0.0,0.0,0.6602467996770846
1010,0.9325,0.0,0.0,0.0,0.7289816630146465,0.9225,0.0,0.0,0.0,0.657363625879368,0.94,0.0,0.0,0.0,0.6958828278168608
1060,0.9325,0.06896551724137931,0.043478260869565216,0.16666666666666666,0.7384384730711567,0.9275,0.0,0.0,0.0,0.6476761619190405,0.9375,0.0,0.0,0.0,0.6861953638565333
1110,0.93,0.0,0.0,0.0,0.7040710414023758,0.9275,0.0,0.0,0.0,0.6454849498327758,0.94,0.0,0.0,0.0,0.7077615038634529
1160,0.9275,0.06451612903225806,0.043478260869565216,0.125,0.7439741667627725,0.925,0.0,0.0,0.0,0.7029177718832892,0.94,0.07692307692307693,0.043478260869565216,0.3333333333333333,0.7106446776611695
1210,0.925,0.0625,0.043478260869565216,0.1111111111111111,0.6938069426825049,0.9275,0.0,0.0,0.0,0.6765078998962057,0.93,0.0,0.0,0.0,0.7008418867489331
1260,0.9225,0.0,0.0,0.0,0.6992273094222119,0.9325,0.0,0.0,0.0,0.7094914081420828,0.9275,0.0,0.0,0.0,0.7160650444008765
1310,0.9325,0.06896551724137931,0.043478260869565216,0.16666666666666666,0.7002652519893899,0.9275,0.0,0.0,0.0,0.7068388882481835,0.9375,0.0,0.0,0.0,0.7171029869680545
1360,0.935,0.0,0.0,0.0,0.7420136085803253,0.9325,0.0,0.0,0.0,0.6948448852496829,0.94,0.0,0.0,0.0,0.7199861607657709
1410,0.925,0.0,0.0,0.0,0.7498558413101141,0.9275,0.06451612903225806,0.043478260869565216,0.125,0.6979587129512167,0.93,0.0,0.0,0.0,0.7308268942451851
1460,0.935,0.0,0.0,0.0,0.7091454272863568,0.925,0.0,0.0,0.0,0.6820435935878215,0.93,0.0,0.0,0.0,0.7643870372506054
1510,0.9325,0.0,0.0,0.0,0.7278283934955599,0.925,0.0,0.0,0.0,0.68215892053973,0.93,0.0,0.0,0.0,0.7287510091108292
1560,0.93,0.0,0.0,0.0,0.7010725406527505,0.9275,0.0,0.0,0.0,0.6833121900588168,0.93,0.0,0.0,0.0,0.7075308499596356
