iteration,labels_used,accuracy_random_sampling,f1_random_sampling,recall_random_sampling,precision_random_sampling,auc_random_sampling,accuracy_uncertainty_sampling,f1_uncertainty_sampling,recall_uncertainty_sampling,precision_uncertainty_sampling,auc_uncertainty_sampling,accuracy_llm_sampling,f1_llm_sampling,recall_llm_sampling,precision_llm_sampling,auc_llm_sampling
1,246,0.9228274967574579,0.08461538461538462,0.05945945945945946,0.14666666666666667,0.6346540745643885,0.9228274967574579,0.08461538461538462,0.05945945945945946,0.14666666666666667,0.6346540745643885,0.9228274967574579,0.08461538461538462,0.05945945945945946,0.14666666666666667,0.6346540745643885
2,296,0.9280155642023347,0.08264462809917356,0.05405405405405406,0.17543859649122806,0.6440254328146706,0.933852140077821,0.02857142857142857,0.016216216216216217,0.12,0.5751573235878169,0.9238002594033723,0.08560311284046693,0.05945945945945946,0.1527777777777778,0.6737076158600822
3,346,0.9173151750972762,0.0989399293286219,0.07567567567567568,0.14285714285714285,0.6369428414271463,0.9380674448767834,0.030456852791878174,0.016216216216216217,0.25,0.6357961272759479,0.9199092088197146,0.10830324909747292,0.08108108108108109,0.16304347826086957,0.6679889617109348
4,396,0.9241245136186771,0.1,0.07027027027027027,0.17333333333333334,0.6923347286575986,0.9374189364461738,0.010256410256410256,0.005405405405405406,0.1,0.6215162730857798,0.9250972762645915,0.0796812749003984,0.05405405405405406,0.15151515151515152,0.6718393108527638
5,446,0.9205577172503242,0.11552346570397112,0.08648648648648649,0.17391304347826086,0.7229650485255866,0.9383916990920882,0.020618556701030927,0.010810810810810811,0.2222222222222222,0.6603078414737608,0.9276913099870299,0.0823045267489712,0.05405405405405406,0.1724137931034483,0.676937061241994
6,496,0.9215304798962386,0.12318840579710146,0.0918918918918919,0.18681318681318682,0.7155291200134251,0.9390402075226978,0.020833333333333332,0.010810810810810811,0.2857142857142857,0.719137074294025,0.920881971465629,0.10294117647058823,0.07567567567567568,0.16091954022988506,0.6993446015867542
7,546,0.9179636835278858,0.08,0.05945945945945946,0.12222222222222222,0.7247690256658865,0.9383916990920882,0.020618556701030927,0.010810810810810811,0.2222222222222222,0.6671004913157379,0.9250972762645915,0.09411764705882353,0.06486486486486487,0.17142857142857143,0.6973252659351313
8,596,0.9241245136186771,0.0859375,0.05945945945945946,0.15492957746478872,0.7450705275817383,0.9393644617380026,0.020942408376963352,0.010810810810810811,0.3333333333333333,0.6695766480519845,0.9270428015564203,0.07407407407407407,0.04864864864864865,0.15517241379310345,0.7135265655445028
9,646,0.920881971465629,0.08955223880597014,0.06486486486486487,0.14457831325301204,0.7476678817485993,0.938715953307393,0.02072538860103627,0.010810810810810811,0.25,0.6924661812554189,0.9263942931258107,0.07346938775510205,0.04864864864864865,0.15,0.698490625844886
10,696,0.9257457846952011,0.0728744939271255,0.04864864864864865,0.14516129032258066,0.7643642262476344,0.9396887159533074,0.021052631578947368,0.010810810810810811,0.4,0.6876779504582194,0.9315823605706874,0.08658008658008658,0.05405405405405406,0.21739130434782608,0.7355117794579678
11,746,0.9228274967574579,0.048,0.032432432432432434,0.09230769230769231,0.758649301250198,0.9390402075226978,0.030927835051546393,0.016216216216216217,0.3333333333333333,0.6548837903097993,0.9328793774319066,0.08,0.04864864864864865,0.225,0.7272367918107829
12,796,0.9234760051880675,0.11940298507462686,0.08648648648648649,0.1927710843373494,0.7605903247158852,0.9390402075226978,0.06930693069306931,0.03783783783783784,0.4117647058823529,0.6815024752244484,0.9315823605706874,0.08658008658008658,0.05405405405405406,0.21739130434782608,0.7197411968712417
13,846,0.9241245136186771,0.07874015748031496,0.05405405405405406,0.14492753623188406,0.7457874569982194,0.9406614785992218,0.07106598984771574,0.03783783783783784,0.5833333333333334,0.6517736777826464,0.9335278858625162,0.08888888888888889,0.05405405405405406,0.25,0.7339641814978137
