AccidentArea,Sex,Fault,PoliceReportFiled,WitnessPresent,AgentType,Make,MaritalStatus,PolicyType,VehiclePrice,Days_Policy_Accident,PastNumberOfClaims,AgeOfVehicle,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,DriverRating,Deductible,Age,delay_weeks,FraudFound_P
1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.3234321291912575,1.0,4.0,2.0,3.0,1.0,4.0,1.0,2.0,400.0,-1.2796004578825577,0.5611646959685037,0
1.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.3234321291912575,0.0,4.0,2.0,6.0,0.0,0.0,0.0,3.0,700.0,0.30022150011126536,0.5611646959685037,0
1.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.2649977300732862,1.0,4.0,1.0,6.0,0.0,3.0,0.0,3.0,500.0,0.14223930431188306,0.5611646959685037,0
1.0,1.0,1.0,0.0,0.0,0.0,13.0,2.0,0.36215059342369804,1.0,4.0,2.0,4.0,3.0,0.0,0.0,3.0,400.0,-0.7266627725847196,-1.651482656591881,0
0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.3234321291912575,3.0,4.0,1.0,6.0,1.0,0.0,0.0,3.0,400.0,-0.33170728308626385,0.5611646959685037,0
1.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,6.485504896556197e-05,5.0,4.0,0.0,2.0,0.0,2.0,2.0,1.0,300.0,-1.516573751581631,-1.8563574114585832,0
1.0,1.0,1.0,0.0,0.0,0.0,15.0,1.0,0.36215059342369804,2.0,4.0,1.0,6.0,3.0,0.0,0.0,3.0,400.0,-0.015742891487499255,0.6021396469418442,0
1.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,0.36215059342369804,1.0,4.0,1.0,6.0,0.0,0.0,0.0,4.0,400.0,0.14223930431188306,0.6021396469418442,0
1.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.3234321291912575,1.0,4.0,2.0,6.0,0.0,0.0,0.0,4.0,400.0,0.7741680875094122,0.5611646959685037,0
1.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.3234321291912575,5.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,400.0,-1.8325381431803958,-1.7334325585385617,0
1.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.36215059342369804,1.0,4.0,2.0,6.0,0.0,0.0,0.0,2.0,400.0,-0.09473398938719041,0.5611646959685037,0
1.0,1.0,1.0,0.0,0.0,0.0,15.0,1.0,0.2649977300732862,2.0,4.0,0.0,5.0,0.0,0.0,0.0,3.0,400.0,-0.9636360662837931,-1.6924576075652213,0
1.0,1.0,1.0,0.0,0.0,0.0,17.0,2.0,0.2649977300732862,1.0,4.0,2.0,5.0,0.0,0.0,0.0,2.0,400.0,-0.8056538704844107,-1.8563574114585832,0
1.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.36215059342369804,1.0,4.0,1.0,4.0,0.0,0.0,0.0,2.0,400.0,-0.4896894788856461,0.5611646959685037,0
1.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.36215059342369804,1.0,4.0,0.0,6.0,0.0,0.0,0.0,4.0,400.0,0.5371947938103387,0.5611646959685037,0
1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.3234321291912575,2.0,4.0,2.0,6.0,0.0,0.0,0.0,3.0,400.0,0.6161858917100299,-1.8563574114585832,0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3234321291912575,2.0,4.0,2.0,6.0,3.0,0.0,0.0,4.0,400.0,0.30022150011126536,0.5611646959685037,0
1.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.36215059342369804,1.0,4.0,0.0,6.0,3.0,3.0,0.0,3.0,500.0,0.30022150011126536,0.6021396469418442,0
1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.2649977300732862,1.0,4.0,1.0,6.0,2.0,0.0,0.0,2.0,700.0,0.2212304022115742,0.6431145979151847,0
1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.022569557040015564,5.0,4.0,1.0,6.0,0.0,0.0,0.0,3.0,400.0,0.5371947938103387,-1.8153824604852427,0
1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.36215059342369804,1.0,4.0,2.0,6.0,3.0,0.0,0.0,4.0,400.0,0.30022150011126536,0.6021396469418442,0
1.0,1.0,1.0,0.0,0.0,0.0,13.0,2.0,0.36215059342369804,1.0,4.0,3.0,6.0,3.0,0.0,0.0,2.0,400.0,-0.7266627725847196,0.5611646959685037,1
1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.3234321291912575,1.0,4.0,2.0,6.0,1.0,0.0,0.0,1.0,400.0,0.06324820641219189,0.5611646959685037,0
1.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.3234321291912575,1.0,4.0,2.0,6.0,0.0,0.0,0.0,4.0,400.0,-0.17372508728688155,0.5611646959685037,0
1.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.36215059342369804,2.0,4.0,1.0,5.0,0.0,0.0,0.0,1.0,400.0,-0.7266627725847196,0.5611646959685037,0
1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.36215059342369804,1.0,4.0,2.0,4.0,0.0,0.0,0.0,2.0,400.0,1.169123577007868,0.5611646959685037,0
1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.2649977300732862,5.0,4.0,0.0,6.0,0.0,0.0,0.0,2.0,400.0,-0.33170728308626385,0.5611646959685037,0
1.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.2649977300732862,5.0,4.0,2.0,5.0,0.0,0.0,0.0,2.0,400.0,-0.2527161851865727,0.6021396469418442,1
1.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.36215059342369804,2.0,4.0,0.0,7.0,3.0,0.0,0.0,2.0,400.0,1.0901324791081768,0.5611646959685037,0
1.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.36215059342369804,1.0,4.0,0.0,5.0,1.0,0.0,0.0,4.0,400.0,-0.410698380985955,0.5611646959685037,0
1.0,1.0,1.0,0.0,0.0,0.0,17.0,2.0,0.36215059342369804,1.0,4.0,2.0,5.0,3.0,0.0,0.0,2.0,400.0,-0.6476716746850284,0.6021396469418442,0
1.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.36215059342369804,1.0,4.0,1.0,5.0,0.0,0.0,0.0,1.0,400.0,0.30022150011126536,0.5611646959685037,0
1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.3234321291912575,1.0,4.0,2.0,4.0,0.0,0.0,0.0,2.0,400.0,-0.6476716746850284,0.6021396469418442,0
1.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.3234321291912575,2.0,4.0,2.0,7.0,0.0,0.0,0.0,4.0,400.0,1.0901324791081768,0.6021396469418442,0
1.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.3234321291912575,1.0,4.0,2.0,6.0,0.0,3.0,0.0,1.0,500.0,0.6951769896097211,0.5611646959685037,0
1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.3234321291912575,2.0,4.0,2.0,6.0,2.0,3.0,0.0,3.0,500.0,0.30022150011126536,-1.6924576075652213,0
1.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.2649977300732862,1.0,4.0,1.0,6.0,2.0,0.0,0.0,1.0,400.0,-0.410698380985955,-1.7744075095119023,1
1.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.2649977300732862,0.0,4.0,0.0,6.0,1.0,4.0,1.0,2.0,400.0,0.06324820641219189,0.5611646959685037,0
1.0,1.0,1.0,0.0,0.0,0.0,17.0,1.0,0.3234321291912575,5.0,4.0,1.0,6.0,3.0,0.0,0.0,3.0,400.0,0.9321502833087946,0.5611646959685037,0
1.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,0.2649977300732862,5.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,400.0,-0.4896894788856461,0.5611646959685037,0
1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.3234321291912575,2.0,4.0,2.0,6.0,0.0,3.0,0.0,2.0,500.0,0.45820369591064763,0.5611646959685037,0
1.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.3234321291912575,1.0,4.0,2.0,6.0,1.0,4.0,1.0,1.0,400.0,-0.33170728308626385,0.6021396469418442,0
1.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.3234321291912575,2.0,4.0,2.0,6.0,0.0,0.0,0.0,1.0,400.0,-0.33170728308626385,-1.8563574114585832,0
1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.36215059342369804,1.0,4.0,0.0,5.0,0.0,0.0,0.0,3.0,400.0,-0.33170728308626385,0.5611646959685037,0
1.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,0.36215059342369804,5.0,4.0,1.0,6.0,1.0,0.0,0.0,2.0,400.0,0.06324820641219189,0.6021396469418442,1
1.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,0.36215059342369804,1.0,4.0,2.0,7.0,0.0,0.0,0.0,2.0,400.0,0.6951769896097211,-1.8153824604852427,0
