iter	Passed	Remaining
0	5	5414
1	9	4577
2	12	4254
3	16	4099
4	19	3970
5	23	3903
6	27	3862
7	31	3871
8	34	3834
9	38	3801
10	41	3765
11	45	3738
12	48	3702
13	52	3678
14	55	3658
15	59	3664
16	63	3661
17	67	3671
18	71	3683
19	74	3664
20	78	3647
21	81	3629
22	85	3611
23	88	3594
24	91	3581
25	95	3566
26	98	3555
27	102	3545
28	105	3532
29	108	3519
30	112	3512
31	115	3505
32	119	3501
33	123	3500
34	126	3493
35	130	3488
36	133	3484
37	137	3476
38	140	3468
39	144	3467
40	148	3478
41	152	3473
42	155	3469
43	159	3466
44	163	3462
45	166	3455
46	170	3450
47	173	3445
48	177	3441
49	180	3434
50	184	3428
51	187	3421
52	191	3415
53	194	3408
54	198	3406
55	201	3402
56	205	3397
57	208	3391
58	212	3386
59	215	3383
60	219	3377
61	222	3371
62	226	3366
63	229	3361
64	233	3358
65	237	3358
66	240	3353
67	244	3347
68	247	3344
69	251	3340
70	254	3334
71	258	3328
72	261	3324
73	265	3321
74	269	3318
75	272	3314
76	276	3313
77	280	3310
78	283	3305
79	287	3301
80	290	3297
81	294	3293
82	297	3288
83	301	3287
84	305	3284
85	308	3280
86	312	3276
87	315	3272
88	319	3269
89	322	3265
90	326	3260
91	330	3257
92	333	3254
93	337	3255
94	341	3252
95	345	3249
96	348	3245
97	352	3242
98	355	3238
99	359	3237
100	363	3232
101	366	3228
102	370	3226
103	374	3223
104	377	3219
105	381	3215
106	384	3212
107	388	3208
108	392	3204
109	395	3200
110	399	3196
111	402	3192
112	406	3187
113	409	3184
114	413	3179
115	416	3176
116	420	3171
117	423	3167
118	427	3163
119	430	3160
120	434	3157
121	438	3153
122	441	3148
123	445	3145
124	449	3144
125	453	3142
126	457	3141
127	461	3144
128	466	3147
129	469	3143
130	473	3139
131	477	3136
132	480	3132
133	483	3127
134	487	3123
135	490	3119
136	494	3115
137	498	3112
138	501	3108
139	505	3104
140	509	3100
141	512	3096
142	515	3092
143	519	3087
144	522	3082
145	526	3078
146	529	3074
147	533	3070
148	536	3066
149	540	3062
150	544	3059
151	547	3055
152	551	3052
153	555	3049
154	558	3045
155	562	3041
156	565	3036
157	568	3031
158	572	3027
159	575	3023
160	579	3019
161	582	3015
162	586	3011
163	590	3007
164	593	3003
165	597	2999
166	600	2995
167	604	2991
168	607	2988
169	612	2988
170	615	2985
171	620	2987
172	624	2984
173	627	2981
174	631	2977
175	635	2974
176	638	2970
177	642	2967
178	646	2963
179	649	2958
180	653	2954
181	656	2950
182	660	2947
183	663	2944
184	667	2940
185	670	2936
186	674	2933
187	678	2929
188	681	2926
189	685	2923
190	689	2920
191	693	2916
192	696	2912
193	700	2910
194	703	2906
195	707	2902
196	711	2899
197	714	2894
198	718	2891
199	722	2888
200	725	2884
201	729	2880
202	732	2876
203	736	2873
204	743	2882
205	746	2878
206	750	2875
207	753	2870
208	757	2866
209	760	2862
210	764	2858
211	767	2854
212	771	2850
213	774	2846
214	778	2842
215	781	2838
216	785	2833
217	788	2830
218	792	2825
219	795	2822
220	799	2818
221	803	2814
222	806	2810
223	810	2806
224	813	2802
225	817	2798
226	820	2793
227	824	2790
228	827	2786
229	830	2782
230	834	2778
231	838	2775
232	841	2771
233	845	2766
234	848	2762
235	852	2758
236	856	2756
237	859	2753
238	863	2750
239	867	2746
240	870	2742
241	874	2738
242	877	2734
243	881	2732
244	885	2728
245	888	2724
246	892	2720
247	895	2716
248	899	2713
249	903	2709
250	906	2705
251	910	2702
252	914	2698
253	917	2694
254	920	2690
255	924	2687
256	928	2685
257	932	2681
258	936	2678
259	940	2675
260	943	2671
261	946	2667
262	950	2663
263	953	2659
264	957	2655
265	960	2651
266	964	2647
267	968	2644
268	971	2640
269	975	2636
270	978	2632
271	983	2631
272	989	2634
273	993	2633
274	998	2632
275	1002	2630
276	1006	2627
277	1010	2623
278	1013	2619
279	1017	2615
280	1020	2611
281	1024	2607
282	1027	2604
283	1031	2600
284	1035	2598
285	1040	2598
286	1045	2596
287	1049	2593
288	1052	2589
289	1056	2585
290	1059	2582
291	1063	2578
292	1066	2574
293	1070	2570
294	1073	2566
295	1077	2562
296	1081	2558
297	1084	2554
298	1088	2552
299	1092	2550
300	1096	2546
301	1100	2542
302	1103	2539
303	1107	2536
304	1111	2532
305	1115	2529
306	1119	2526
307	1122	2522
308	1126	2518
309	1129	2514
310	1134	2513
311	1138	2510
312	1142	2506
313	1145	2503
314	1149	2499
315	1152	2495
316	1156	2491
317	1160	2488
318	1163	2484
319	1167	2480
320	1170	2476
321	1174	2472
322	1177	2468
323	1181	2464
324	1184	2460
325	1187	2456
326	1191	2452
327	1194	2448
328	1198	2444
329	1202	2440
330	1205	2436
331	1209	2432
332	1212	2428
333	1216	2425
334	1219	2421
335	1223	2417
336	1226	2413
337	1233	2415
338	1237	2412
339	1240	2408
340	1244	2404
341	1247	2401
342	1251	2397
343	1255	2394
344	1259	2390
345	1262	2386
346	1266	2382
347	1269	2379
348	1273	2375
349	1277	2372
350	1281	2369
351	1286	2368
352	1291	2366
353	1294	2363
354	1298	2359
355	1302	2355
356	1305	2352
357	1309	2348
358	1313	2344
359	1316	2340
360	1320	2337
361	1324	2333
362	1327	2329
363	1332	2328
364	1336	2325
365	1340	2321
366	1343	2317
367	1347	2313
368	1350	2309
369	1354	2305
370	1357	2302
371	1361	2298
372	1364	2294
373	1368	2290
374	1372	2287
375	1376	2283
376	1379	2280
377	1383	2276
378	1387	2272
379	1390	2269
380	1394	2265
381	1397	2261
382	1401	2257
383	1405	2254
384	1409	2250
385	1412	2246
386	1416	2243
387	1419	2239
388	1423	2235
389	1426	2231
390	1431	2229
391	1435	2226
392	1438	2222
393	1442	2218
394	1446	2215
395	1450	2212
396	1453	2208
