labels_used,accuracy_random_sampling,f1_random_sampling,recall_random_sampling,precision_random_sampling,auc_random_sampling,accuracy_uncertainty_sampling,f1_uncertainty_sampling,recall_uncertainty_sampling,precision_uncertainty_sampling,auc_uncertainty_sampling,accuracy_llm_sampling,f1_llm_sampling,recall_llm_sampling,precision_llm_sampling,auc_llm_sampling
300,0.9137483787289234,0.13636363636363635,0.11351351351351352,0.17073170731707318,0.6600244259437085,0.9137483787289234,0.13636363636363635,0.11351351351351352,0.17073170731707318,0.6600244259437085,0.9137483787289234,0.13636363636363635,0.11351351351351352,0.17073170731707318,0.6600244259437085
350,0.9173151750972762,0.12371134020618557,0.0972972972972973,0.16981132075471697,0.6924195668590288,0.9361219195849546,0.11659192825112108,0.07027027027027027,0.34210526315789475,0.6455180257870841,0.9189364461738002,0.14383561643835616,0.11351351351351352,0.19626168224299065,0.7155981093200824
400,0.9182879377431906,0.14285714285714285,0.11351351351351352,0.1926605504587156,0.7097675806195984,0.9390402075226978,0.030927835051546393,0.016216216216216217,0.3333333333333333,0.64324883697081,0.917639429312581,0.16993464052287582,0.14054054054054055,0.21487603305785125,0.7556976776707718
450,0.9280155642023347,0.13953488372093023,0.0972972972972973,0.2465753424657534,0.7267725124227368,0.9400129701686122,0.021164021164021163,0.010810810810810811,0.5,0.6205979694768933,0.914396887159533,0.18012422360248448,0.15675675675675677,0.2116788321167883,0.7709629602006285
500,0.9228274967574579,0.0916030534351145,0.06486486486486487,0.15584415584415584,0.7094990816963911,0.9383916990920882,0.030612244897959183,0.016216216216216217,0.2727272727272727,0.6382536382536382,0.917639429312581,0.1962025316455696,0.16756756756756758,0.2366412213740458,0.7675899424778349
550,0.9234760051880675,0.08527131782945736,0.05945945945945946,0.1506849315068493,0.7153370687002975,0.9393644617380026,0.031088082901554404,0.016216216216216217,0.375,0.6263669671741421,0.9169909208819714,0.18471337579617833,0.15675675675675677,0.2248062015503876,0.746814838294659
600,0.9257457846952011,0.09486166007905138,0.06486486486486487,0.17647058823529413,0.7307888088157147,0.9390402075226978,0.030927835051546393,0.016216216216216217,0.3333333333333333,0.6761828403084008,0.9140726329442282,0.19939577039274925,0.1783783783783784,0.22602739726027396,0.7471001184005669
650,0.9244487678339819,0.12734082397003746,0.0918918918918919,0.2073170731707317,0.7562011131517858,0.9393644617380026,0.041025641025641026,0.021621621621621623,0.4,0.6560659314022543,0.9137483787289234,0.21301775147928995,0.1945945945945946,0.23529411764705882,0.7621006311589272
700,0.9250972762645915,0.12167300380228137,0.08648648648648649,0.20512820512820512,0.7481591974865517,0.9393644617380026,0.031088082901554404,0.016216216216216217,0.375,0.672151627308578,0.9118028534370947,0.2138728323699422,0.2,0.22981366459627328,0.7586586241294763
750,0.9286640726329443,0.14728682170542637,0.10270270270270271,0.2602739726027397,0.7475699915161799,0.9396887159533074,0.03125,0.016216216216216217,0.42857142857142855,0.6659575063162507,0.9169909208819714,0.21951219512195122,0.1945945945945946,0.2517482517482518,0.771430968740386
800,0.9319066147859922,0.11764705882352941,0.07567567567567568,0.2641509433962264,0.7502904076895109,0.938715953307393,0.03076923076923077,0.016216216216216217,0.3,0.678261842387403,0.9150453955901426,0.17088607594936708,0.14594594594594595,0.20610687022900764,0.7652349831722028
850,0.9315823605706874,0.10970464135021098,0.07027027027027027,0.25,0.7454443750407878,0.9380674448767834,0.030456852791878174,0.016216216216216217,0.25,0.7044609977345403,0.9140726329442282,0.2042042042042042,0.1837837837837838,0.22972972972972974,0.7627961179530687
900,0.9315823605706874,0.10970464135021098,0.07027027027027027,0.25,0.7536485088054594,0.938715953307393,0.05025125628140704,0.02702702702702703,0.35714285714285715,0.699909568071003,0.9130998702983139,0.21637426900584794,0.2,0.2356687898089172,0.7688485311803698
950,0.9309338521400778,0.11618257261410789,0.07567567567567568,0.25,0.7544353598165258,0.9393644617380026,0.06030150753768844,0.032432432432432434,0.42857142857142855,0.6889533203434549,0.9179636835278858,0.23100303951367782,0.20540540540540542,0.2638888888888889,0.7813654288990614
1000,0.9293125810635539,0.09917355371900827,0.06486486486486487,0.21052631578947367,0.7545845258849742,0.9377431906614786,0.058823529411764705,0.032432432432432434,0.3157894736842105,0.7227301119677801,0.9092088197146563,0.21787709497206703,0.21081081081081082,0.2254335260115607,0.7803865265748674
1050,0.9293125810635539,0.11382113821138211,0.07567567567567568,0.22950819672131148,0.7428190522360927,0.9390402075226978,0.06,0.032432432432432434,0.4,0.7350475000699218,0.9079118028534371,0.2111111111111111,0.20540540540540542,0.21714285714285714,0.7695850386433346
1100,0.9276913099870299,0.10441767068273092,0.07027027027027027,0.203125,0.7539636221250571,0.9396887159533074,0.06060606060606061,0.032432432432432434,0.46153846153846156,0.7264070555550377,0.9075875486381323,0.2359249329758713,0.23783783783783785,0.23404255319148937,0.7722924027856762
1150,0.9273670557717251,0.125,0.08648648648648649,0.22535211267605634,0.7566355593261425,0.9396887159533074,0.06060606060606061,0.032432432432432434,0.46153846153846156,0.7374043239514092,0.9108300907911803,0.22535211267605634,0.21621621621621623,0.23529411764705882,0.7734242003300298
1200,0.9315823605706874,0.0944206008583691,0.05945945945945946,0.22916666666666666,0.7546982650121665,0.9406614785992218,0.07106598984771574,0.03783783783783784,0.5833333333333334,0.7350717395560444,0.9088845654993515,0.21288515406162464,0.20540540540540542,0.22093023255813954,0.782463664078014
1250,0.9309338521400778,0.1087866108786611,0.07027027027027027,0.24074074074074073,0.7621024957347827,0.9396887159533074,0.06060606060606061,0.032432432432432434,0.46153846153846156,0.7247475830435471,0.9033722438391699,0.2074468085106383,0.21081081081081082,0.20418848167539266,0.7842275528374183
1300,0.9289883268482491,0.08368200836820083,0.05405405405405406,0.18518518518518517,0.7523656806168016,0.9390402075226978,0.06930693069306931,0.03783783783783784,0.4117647058823529,0.744416993744348,0.9033722438391699,0.1945945945945946,0.1945945945945946,0.1945945945945946,0.7827918294286006
1350,0.9302853437094682,0.12955465587044535,0.08648648648648649,0.25806451612903225,0.7631112312726662,0.9396887159533074,0.07920792079207921,0.043243243243243246,0.47058823529411764,0.7393919618134864,0.9066147859922179,0.21311475409836064,0.21081081081081082,0.2154696132596685,0.785316465137093
1400,0.9302853437094682,0.11522633744855967,0.07567567567567568,0.2413793103448276,0.7619085798457996,0.9383916990920882,0.06862745098039216,0.03783783783783784,0.3684210526315789,0.7328883212291284,0.9140726329442282,0.23631123919308358,0.22162162162162163,0.25308641975308643,0.7838266690284627
