labels_used,accuracy_random_sampling,f1_random_sampling,recall_random_sampling,precision_random_sampling,auc_random_sampling,accuracy_uncertainty_sampling,f1_uncertainty_sampling,recall_uncertainty_sampling,precision_uncertainty_sampling,auc_uncertainty_sampling,accuracy_llm_sampling,f1_llm_sampling,recall_llm_sampling,precision_llm_sampling,auc_llm_sampling
300,0.9137483787289234,0.13636363636363635,0.11351351351351352,0.17073170731707318,0.6600244259437085,0.9137483787289234,0.13636363636363635,0.11351351351351352,0.17073170731707318,0.6600244259437085,0.9137483787289234,0.13636363636363635,0.11351351351351352,0.17073170731707318,0.6600244259437085
350,0.9173151750972762,0.12371134020618557,0.0972972972972973,0.16981132075471697,0.6924195668590288,0.9361219195849546,0.11659192825112108,0.07027027027027027,0.34210526315789475,0.6455180257870841,0.9130998702983139,0.15723270440251572,0.13513513513513514,0.18796992481203006,0.7033273356143311
400,0.9182879377431906,0.14285714285714285,0.11351351351351352,0.1926605504587156,0.7097675806195984,0.9390402075226978,0.030927835051546393,0.016216216216216217,0.3333333333333333,0.64324883697081,0.9124513618677043,0.16666666666666666,0.14594594594594595,0.19424460431654678,0.714537165658242
450,0.9280155642023347,0.13953488372093023,0.0972972972972973,0.2465753424657534,0.7267725124227368,0.9400129701686122,0.021164021164021163,0.010810810810810811,0.5,0.6205979694768933,0.9111543450064851,0.12738853503184713,0.10810810810810811,0.15503875968992248,0.7100435378462284
500,0.9228274967574579,0.0916030534351145,0.06486486486486487,0.15584415584415584,0.7094990816963911,0.9383916990920882,0.030612244897959183,0.016216216216216217,0.2727272727272727,0.6382536382536382,0.9137483787289234,0.14193548387096774,0.11891891891891893,0.176,0.7114727352395515
550,0.9234760051880675,0.08527131782945736,0.05945945945945946,0.1506849315068493,0.7153370687002975,0.9393644617380026,0.031088082901554404,0.016216216216216217,0.375,0.6263669671741421,0.9095330739299611,0.12539184952978055,0.10810810810810811,0.14925373134328357,0.7191137670958299
600,0.9257457846952011,0.09486166007905138,0.06486486486486487,0.17647058823529413,0.7307888088157147,0.9390402075226978,0.030927835051546393,0.016216216216216217,0.3333333333333333,0.6761828403084008,0.9088845654993515,0.11912225705329153,0.10270270270270271,0.1417910447761194,0.7170217129858385
650,0.9244487678339819,0.12734082397003746,0.0918918918918919,0.2073170731707317,0.7562011131517858,0.9393644617380026,0.041025641025641026,0.021621621621621623,0.4,0.6560659314022543,0.9075875486381323,0.12307692307692308,0.10810810810810811,0.14285714285714285,0.6961804163597887
700,0.9250972762645915,0.12167300380228137,0.08648648648648649,0.20512820512820512,0.7481591974865517,0.9393644617380026,0.031088082901554404,0.016216216216216217,0.375,0.672151627308578,0.914396887159533,0.13157894736842105,0.10810810810810811,0.16806722689075632,0.7084922107343632
750,0.9286640726329443,0.14728682170542637,0.10270270270270271,0.2602739726027397,0.7475699915161799,0.9396887159533074,0.03125,0.016216216216216217,0.42857142857142855,0.6659575063162507,0.9114785992217899,0.11650485436893204,0.0972972972972973,0.14516129032258066,0.6959342923468486
