labels_used,accuracy_random_sampling,f1_random_sampling,recall_random_sampling,precision_random_sampling,auc_random_sampling,accuracy_uncertainty_sampling,f1_uncertainty_sampling,recall_uncertainty_sampling,precision_uncertainty_sampling,auc_uncertainty_sampling,accuracy_llm_sampling,f1_llm_sampling,recall_llm_sampling,precision_llm_sampling,auc_llm_sampling
300,0.9134241245136187,0.12459016393442623,0.10270270270270271,0.15833333333333333,0.6936520514995852,0.9134241245136187,0.12459016393442623,0.10270270270270271,0.15833333333333333,0.6936520514995852,0.9134241245136187,0.12459016393442623,0.10270270270270271,0.15833333333333333,0.6936520514995852
350,0.9088845654993515,0.11912225705329153,0.10270270270270271,0.1417910447761194,0.6923076923076923,0.9312581063553826,0.03636363636363636,0.021621621621621623,0.11428571428571428,0.6185655817942813,0.9147211413748378,0.12624584717607973,0.10270270270270271,0.16379310344827586,0.6878681371954914
400,0.917639429312581,0.16993464052287582,0.14054054054054055,0.21487603305785125,0.7046922051406357,0.9325551232166018,0.018867924528301886,0.010810810810810811,0.07407407407407407,0.6265012166357458,0.8900778210116731,0.15037593984962405,0.16216216216216217,0.14018691588785046,0.6807417282753605
450,0.9238002594033723,0.1696113074204947,0.12972972972972974,0.24489795918367346,0.7183502232829587,0.9361219195849546,0.06635071090047394,0.03783783783783784,0.2692307692307692,0.6510977690349888,0.8913748378728924,0.1927710843373494,0.21621621621621623,0.17391304347826086,0.6900422326431295
500,0.919260700389105,0.16161616161616163,0.12972972972972974,0.21428571428571427,0.7121169461976636,0.932230869001297,0.045662100456621,0.02702702702702703,0.14705882352941177,0.632894847244623,0.8939688715953308,0.20048899755501223,0.22162162162162163,0.18303571428571427,0.7078079113953553
550,0.9130998702983139,0.10666666666666667,0.08648648648648649,0.1391304347826087,0.7074611002862123,0.9357976653696498,0.04807692307692308,0.02702702702702703,0.21739130434782608,0.6684914649040209,0.8949416342412452,0.19801980198019803,0.21621621621621623,0.182648401826484,0.7146639568164233
600,0.9218547341115434,0.14840989399293286,0.11351351351351352,0.21428571428571427,0.7266792836299563,0.9374189364461738,0.05853658536585366,0.032432432432432434,0.3,0.6628958727613435,0.8975356679636836,0.20202020202020202,0.21621621621621623,0.1895734597156398,0.7214892367358735
650,0.9179636835278858,0.1758957654723127,0.14594594594594595,0.22131147540983606,0.7408220914947373,0.9328793774319066,0.08,0.04864864864864865,0.225,0.6891062155636147,0.9001297016861219,0.19791666666666666,0.20540540540540542,0.19095477386934673,0.7076065372029497
700,0.9147211413748378,0.1488673139158576,0.12432432432432433,0.18548387096774194,0.7491418289624567,0.9315823605706874,0.08658008658008658,0.05405405405405406,0.21739130434782608,0.6863018934767814,0.8972114137483788,0.18508997429305912,0.1945945945945946,0.17647058823529413,0.702905941470964
750,0.9134241245136187,0.16822429906542055,0.14594594594594595,0.19852941176470587,0.7512749037412714,0.9325551232166018,0.10344827586206896,0.06486486486486487,0.2553191489361702,0.687965095139983,0.8965629053177692,0.17571059431524547,0.1837837837837838,0.16831683168316833,0.7085276376756198
800,0.9173151750972762,0.1296928327645051,0.10270270270270271,0.17592592592592593,0.7588283005323364,0.9328793774319066,0.1038961038961039,0.06486486486486487,0.2608695652173913,0.6961431248426764,0.8816472114137484,0.19426048565121412,0.23783783783783785,0.16417910447761194,0.7180779952080399
850,0.914396887159533,0.13725490196078433,0.11351351351351352,0.17355371900826447,0.7749531525316278,0.9328793774319066,0.1038961038961039,0.06486486486486487,0.2608695652173913,0.6925948369894558,0.8884565499351491,0.16908212560386474,0.1891891891891892,0.15283842794759825,0.712931765846564
900,0.9163424124513618,0.1456953642384106,0.11891891891891893,0.18803418803418803,0.7619365484836336,0.9348249027237354,0.14468085106382977,0.0918918918918919,0.34,0.6956564705443629,0.8855382619974059,0.17715617715617715,0.20540540540540542,0.1557377049180328,0.7141810316698209
950,0.9202334630350194,0.13380281690140844,0.10270270270270271,0.1919191919191919,0.7592496946757037,0.9315823605706874,0.13168724279835392,0.08648648648648649,0.27586206896551724,0.6921007243877199,0.872568093385214,0.19631901840490798,0.2594594594594595,0.15789473684210525,0.7379357280702573
1000,0.916018158236057,0.12794612794612795,0.10270270270270271,0.16964285714285715,0.7513308410169397,0.9315823605706874,0.12448132780082988,0.08108108108108109,0.26785714285714285,0.6787820590511174,0.8719195849546044,0.21157684630738524,0.2864864864864865,0.16772151898734178,0.7556454695468148
1050,0.9140726329442282,0.13680781758957655,0.11351351351351352,0.1721311475409836,0.7514539030234098,0.932230869001297,0.12552301255230125,0.08108108108108109,0.2777777777777778,0.6746986379273374,0.8683527885862516,0.19123505976095617,0.2594594594594595,0.15141955835962145,0.7583472399615897
1100,0.9195849546044098,0.14482758620689656,0.11351351351351352,0.2,0.7449651790458967,0.932230869001297,0.12552301255230125,0.08108108108108109,0.2777777777777778,0.7037133028164417,0.8683527885862516,0.21923076923076923,0.3081081081081081,0.1701492537313433,0.7596860054259157
1150,0.919260700389105,0.14432989690721648,0.11351351351351352,0.19811320754716982,0.7589010189907051,0.932230869001297,0.15384615384615385,0.10270270270270271,0.3064516129032258,0.699283070583519,0.8735408560311284,0.21686746987951808,0.2918918918918919,0.17252396166134185,0.7639428321042673
1200,0.9179636835278858,0.1245674740484429,0.0972972972972973,0.17307692307692307,0.7496844205364386,0.9286640726329443,0.12698412698412698,0.08648648648648649,0.23880597014925373,0.7177871213745654,0.874189364461738,0.20491803278688525,0.2702702702702703,0.16501650165016502,0.7698479438389753
1250,0.9189364461738002,0.14965986394557823,0.11891891891891893,0.2018348623853211,0.7650615776176315,0.9289883268482491,0.13438735177865613,0.0918918918918919,0.25,0.7170673950943011,0.874189364461738,0.20816326530612245,0.2756756756756757,0.16721311475409836,0.7610378229212311
1300,0.9147211413748378,0.16507936507936508,0.14054054054054055,0.2,0.756204842303497,0.9299610894941635,0.15625,0.10810810810810811,0.28169014084507044,0.7215274605409134,0.8667315175097277,0.19569471624266144,0.2702702702702703,0.15337423312883436,0.7524309407717479
1350,0.9166666666666666,0.12286689419795221,0.0972972972972973,0.16666666666666666,0.7555708865125906,0.9286640726329443,0.15384615384615385,0.10810810810810811,0.26666666666666666,0.7492854013033384,0.867704280155642,0.2153846153846154,0.3027027027027027,0.16716417910447762,0.7609706981904292
1400,0.9173151750972762,0.1296928327645051,0.10270270270270271,0.17592592592592593,0.754192964955297,0.9280155642023347,0.13953488372093023,0.0972972972972973,0.2465753424657534,0.7344732107063947,0.8654345006485085,0.19729206963249515,0.2756756756756757,0.1536144578313253,0.7560538116591928
1450,0.9140726329442282,0.13680781758957655,0.11351351351351352,0.1721311475409836,0.7522724518240214,0.9273670557717251,0.16417910447761194,0.11891891891891893,0.26506024096385544,0.748599237388475,0.856355382619974,0.1841620626151013,0.2702702702702703,0.13966480446927373,0.7610788435900544
1500,0.9105058365758755,0.14285714285714285,0.12432432432432433,0.1678832116788321,0.7612149576275137,0.9276913099870299,0.14559386973180077,0.10270270270270271,0.25,0.7345869498335867,0.8612191958495461,0.2074074074074074,0.3027027027027027,0.15774647887323945,0.7734372523610192
1550,0.9140726329442282,0.1640378548895899,0.14054054054054055,0.19696969696969696,0.7657943559288851,0.9270428015564203,0.1509433962264151,0.10810810810810811,0.25,0.7420340658008819,0.8667315175097277,0.20194174757281552,0.2810810810810811,0.15757575757575756,0.7727566821737226
1600,0.916018158236057,0.18808777429467086,0.16216216216216217,0.22388059701492538,0.7693687478440842,0.9273670557717251,0.15151515151515152,0.10810810810810811,0.25316455696202533,0.7307627047537361,0.8651102464332037,0.1937984496124031,0.2702702702702703,0.1510574018126888,0.7746324454844634
1650,0.9108300907911803,0.1691842900302115,0.15135135135135136,0.1917808219178082,0.7679404827386891,0.9263942931258107,0.149812734082397,0.10810810810810811,0.24390243902439024,0.7328827275015616,0.8647859922178989,0.19342359767891681,0.2702702702702703,0.15060240963855423,0.7773062472614043
1700,0.9075875486381323,0.16422287390029325,0.15135135135135136,0.1794871794871795,0.7611981764448132,0.9273670557717251,0.17037037037037037,0.12432432432432433,0.27058823529411763,0.7329610396874972,0.8654345006485085,0.22429906542056074,0.32432432432432434,0.17142857142857143,0.7812945750165482
1750,0.9101815823605707,0.1476923076923077,0.12972972972972974,0.17142857142857143,0.7596431201812368,0.9234760051880675,0.16312056737588654,0.12432432432432433,0.23711340206185566,0.7402739061931888,0.8641374837872893,0.2019047619047619,0.2864864864864865,0.15588235294117647,0.7927113729804313
1800,0.9088845654993515,0.1510574018126888,0.13513513513513514,0.17123287671232876,0.7539337889113674,0.9234760051880675,0.16901408450704225,0.12972972972972974,0.24242424242424243,0.7400893131834836,0.8612191958495461,0.20446096654275092,0.2972972972972973,0.1558073654390935,0.7826874131806867
1850,0.9105058365758755,0.1834319526627219,0.16756756756756758,0.20261437908496732,0.7652443060514809,0.9225032425421531,0.17301038062283736,0.13513513513513514,0.2403846153846154,0.7210743686080008,0.8647859922178989,0.20267686424474188,0.2864864864864865,0.15680473372781065,0.7838565022421525
1900,0.9114785992217899,0.138801261829653,0.11891891891891893,0.16666666666666666,0.7509691133009518,0.9205577172503242,0.18604651162790697,0.15135135135135136,0.2413793103448276,0.7396343566747153,0.8683527885862516,0.19444444444444445,0.2648648648648649,0.1536050156739812,0.77991851803511
1950,0.9101815823605707,0.16314199395770393,0.14594594594594595,0.18493150684931506,0.7512525288310042,0.9228274967574579,0.19594594594594594,0.15675675675675677,0.26126126126126126,0.7293474916793303,0.8664072632944229,0.19844357976653695,0.2756756756756757,0.15501519756838905,0.7796537482636137
